Date,Year,Month,Day,Fert_TP_mg/d,Inflow_TP_mg/d,Fert_TN_mg/d,Inflow_TN_mg/d
8/14/70,1970,8,14,134782.6087,0.019267334,1673913.043,0.017087083
8/15/70,1970,8,15,134782.6087,0.011700169,1673913.043,0.010603038
8/16/70,1970,8,16,134782.6087,0,1673913.043,0
8/17/70,1970,8,17,134782.6087,0,1673913.043,0
8/18/70,1970,8,18,134782.6087,0.003453689,1673913.043,0.0033281
8/19/70,1970,8,19,134782.6087,0,1673913.043,0
8/20/70,1970,8,20,134782.6087,0,1673913.043,0
8/21/70,1970,8,21,134782.6087,0.003238234,1673913.043,0.003302791
8/22/70,1970,8,22,134782.6087,0,1673913.043,0
8/23/70,1970,8,23,134782.6087,0,1673913.043,0
8/24/70,1970,8,24,134782.6087,0,1673913.043,0
8/25/70,1970,8,25,134782.6087,0,1673913.043,0
8/26/70,1970,8,26,134782.6087,0.009596696,1673913.043,0.010665695
8/27/70,1970,8,27,134782.6087,0,1673913.043,0
8/28/70,1970,8,28,134782.6087,0,1673913.043,0
8/29/70,1970,8,29,134782.6087,0.001987242,1673913.043,0.002314919
8/30/70,1970,8,30,134782.6087,0,1673913.043,0
8/31/70,1970,8,31,134782.6087,0,1673913.043,0
9/1/70,1970,9,1,134782.6087,0.005457997,1673913.043,0.006644518
9/2/70,1970,9,2,134782.6087,0.152769679,1673913.043,0.102040816
9/3/70,1970,9,3,134782.6087,0.046013436,1673913.043,0.019520852
9/4/70,1970,9,4,134782.6087,0,1673913.043,0
9/5/70,1970,9,5,134782.6087,0,1673913.043,0
9/6/70,1970,9,6,134782.6087,0.006011427,1673913.043,0.000821381
9/7/70,1970,9,7,134782.6087,0.009090047,1673913.043,0.0008296
9/8/70,1970,9,8,134782.6087,0.032033066,1673913.043,0.001808318
9/9/70,1970,9,9,134782.6087,0.28622449,1673913.043,0.018642072
9/10/70,1970,9,10,134782.6087,0.409795918,1673913.043,0.031083203
9/11/70,1970,9,11,134782.6087,0.00619234,1673913.043,0.000553752
9/12/70,1970,9,12,134782.6087,0.038227974,1673913.043,0.004096948
9/13/70,1970,9,13,134782.6087,0,1673913.043,0
9/14/70,1970,9,14,134782.6087,0,1673913.043,0
9/15/70,1970,9,15,134782.6087,0.005381516,1673913.043,0.001189893
9/16/70,1970,9,16,134782.6087,0,1673913.043,0
9/17/70,1970,9,17,134782.6087,0,1673913.043,0
9/18/70,1970,9,18,134782.6087,0,1673913.043,0
9/19/70,1970,9,19,134782.6087,0,1673913.043,0
9/20/70,1970,9,20,134782.6087,0.010884354,1673913.043,0.014547357
9/21/70,1970,9,21,134782.6087,0.00616991,1673913.043,0.005220693
9/22/70,1970,9,22,134782.6087,0,1673913.043,0
9/23/70,1970,9,23,134782.6087,0,1673913.043,0
9/24/70,1970,9,24,134782.6087,0.068027211,1673913.043,0.074829932
9/25/70,1970,9,25,134782.6087,0.008873114,1673913.043,0.009760426
9/26/70,1970,9,26,134782.6087,0.013605442,1673913.043,0.012471655
9/27/70,1970,9,27,134782.6087,0,1673913.043,0
9/28/70,1970,9,28,134782.6087,0,1673913.043,0
9/29/70,1970,9,29,134782.6087,0,1673913.043,0
9/30/70,1970,9,30,134782.6087,0,1673913.043,0
10/1/70,1970,10,1,134782.6087,0.003518649,1673913.043,0.00389101
10/2/70,1970,10,2,134782.6087,0.015238095,1673913.043,0.015071655
10/3/70,1970,10,3,134782.6087,0,1673913.043,0
10/4/70,1970,10,4,134782.6087,0,1673913.043,0
10/5/70,1970,10,5,134782.6087,0,1673913.043,0
10/6/70,1970,10,6,134782.6087,0.013061224,1673913.043,0.009106394
10/7/70,1970,10,7,134782.6087,0,1673913.043,0
10/8/70,1970,10,8,134782.6087,0.001495886,1673913.043,0.001196086
10/9/70,1970,10,9,134782.6087,0.001024348,1673913.043,0.000883585
10/10/70,1970,10,10,134782.6087,0,1673913.043,0
10/11/70,1970,10,11,134782.6087,0,1673913.043,0
10/12/70,1970,10,12,134782.6087,0.003188776,1673913.043,0.003594334
