"date","Year","Month","Day","Obs_TDP","nondiazoPP","diazoPP"
1992-10-13,1992,10,13,7,18.5424843399777,2.45751566002232
1993-05-17,1993,5,17,6,12.6598404031657,0.340159596834291
1993-05-31,1993,5,31,7,17.8756882939956,1.12431170600438
1993-06-14,1993,6,14,6,7.87706946802461,35.1229305319754
1993-06-28,1993,6,28,7,25.293059226986,14.706940773014
1993-07-12,1993,7,12,5,7.47096729138248,20.5290327086175
1993-07-21,1993,7,21,6,11.852652156932,15.147347843068
1993-07-26,1993,7,26,4,13.6086006246256,17.3913993753744
1993-08-09,1993,8,9,6,11.0192069283868,17.9807930716132
1993-08-23,1993,8,23,6,23.1283917761218,10.8716082238782
1993-09-02,1993,9,2,7,23.2187529949537,13.7812470050463
1993-10-04,1993,10,4,7,22.2753956636927,1.72460433630727
1994-05-18,1994,5,18,11,7,0
1994-06-01,1994,6,1,6,20.2362380900882,0.763761909911783
1994-06-27,1994,6,27,7,2.43284357163644,28.5671564283636
1994-07-13,1994,7,13,5,6.37604914396635,37.6239508560337
1994-07-27,1994,7,27,7,48.7231252565551,7.27687474344488
1994-08-10,1994,8,10,3,36.924987127317,1.07501287268299
1994-08-23,1994,8,23,4,24.7637285050868,8.23627149491315
1994-09-07,1994,9,7,5,8.51095905254509,13.4890409474549
1994-09-21,1994,9,21,6,4.31375715777136,13.6862428422286
1994-10-19,1994,10,19,5,16.153343736949,1.84665626305105
1995-05-16,1995,5,16,3,8,0
1995-05-30,1995,5,30,4,12.9582203013381,0.0417796986619087
1995-06-13,1995,6,13,3,13.3902238534908,1.60977614650922
1995-06-27,1995,6,27,8,0.197381190827323,26.8026188091727
1995-07-11,1995,7,11,11,0.690380947306938,15.3096190526931
1995-07-25,1995,7,25,6,2.16880672324622,21.8311932767538
1995-08-08,1995,8,8,6,17.2186468586919,16.7813531413081
1995-08-22,1995,8,22,9,34.1906851285455,14.8093148714545
1995-09-05,1995,9,5,6,45.0083658405311,9.99163415946889
1995-10-03,1995,10,3,5,8.43166485002225,4.56833514997775
1996-05-21,1996,5,21,4,3.71849778449466,0.281502215505344
1996-06-03,1996,6,3,20,10,0
