aaa_rtrvr_qry_0003,,,,,,,,,,,,,,,,,
location,sublocation,start_date,manipulation_type,item,item_description,manipulation_method,method_description,percent_purity,specific_gravity,amount,amount_units,corrected_amount,corrected_units,start_time,end_time,end_date,observation
227,LA,2015-05-04,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2015-05-04,
227,LA,2015-05-11,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2015-05-11,
227,LA,2015-05-19,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2015-05-19,
227,LA,2015-05-25,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2015-05-25,
227,LA,2015-06-01,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2015-06-01,
227,LA,2015-06-08,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2015-06-08,
227,LA,2015-06-15,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2015-06-15,
227,LA,2015-06-22,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2015-06-22,
227,LA,2015-06-29,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2015-06-29,
227,LA,2015-07-06,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2015-07-06,
227,LA,2015-07-13,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2015-07-13,
227,LA,2015-07-20,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2015-07-20,
227,LA,2015-07-27,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2015-07-27,
227,LA,2015-08-03,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2015-08-03,
227,LA,2015-08-10,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2015-08-10,
227,LA,2015-08-17,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2015-08-17,
