location,sublocation,start_date,manipulation_type,item,item_description,manipulation_method,method_description,percent_purity,specific_gravity,amount,amount_units,corrected_amount,corrected_units,start_time,end_time,end_date,observation
227,LA,20-Jun-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,20-Jun-72,
227,LA,27-Jun-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,27-Jun-72,
227,LA,04-Jul-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,04-Jul-72,
227,LA,11-Jul-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,11-Jul-72,
227,LA,18-Jul-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,18-Jul-72,
227,LA,25-Jul-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,25-Jul-72,
227,LA,01-Aug-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,01-Aug-72,
227,LA,08-Aug-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,08-Aug-72,
227,LA,15-Aug-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,15-Aug-72,
227,LA,22-Aug-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,22-Aug-72,
227,LA,29-Aug-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,29-Aug-72,
227,LA,05-Sep-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,05-Sep-72,
227,LA,12-Sep-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,12-Sep-72,
227,LA,19-Sep-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,19-Sep-72,
227,LA,26-Sep-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,26-Sep-72,
227,LA,03-Oct-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,03-Oct-72,
227,LA,22-May-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,22-May-73,
227,LA,29-May-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,29-May-73,
227,LA,05-Jun-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,05-Jun-73,
227,LA,12-Jun-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,12-Jun-73,
227,LA,19-Jun-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,19-Jun-73,
227,LA,26-Jun-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,26-Jun-73,
227,LA,03-Jul-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,03-Jul-73,
227,LA,10-Jul-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,10-Jul-73,
227,LA,17-Jul-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,17-Jul-73,
227,LA,24-Jul-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,24-Jul-73,
227,LA,31-Jul-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,31-Jul-73,
227,LA,07-Aug-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,07-Aug-73,
227,LA,14-Aug-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,14-Aug-73,
227,LA,21-Aug-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,21-Aug-73,
227,LA,28-Aug-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,28-Aug-73,
227,LA,04-Sep-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,04-Sep-73,
227,LA,11-Sep-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,11-Sep-73,
227,LA,18-Sep-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,18-Sep-73,
