z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	ÊPO4adsc
13.9	3.055267624	389.4518074	1.97E-05	0.508920585	1.33E-53	2.71E-57	0.061084637	3.43E-11	4.47E-11	1.75E-02	0.046595544	1.54E-05	0.028217461	1.23E-06	2.44E-06	1.26E-19	2.20E-07	0.001904629	547.5837989	0.142899469	3.519481669	11119.59801	0.377074177	3.30610000000000e-319	0.16461421	3.98E-05	58.30598187	0.205459323	0.001091278	1.558165068	4.76300000000000e-321	0.010352414	6.30E-09	7.09E-02	3.03183000000000e-318	2.34503000000000e-319	0.936903985
14	3.051671247	389.6121047	1.99E-05	0.508559254	5.23E-54	1.05E-57	0.061039685	3.43E-11	4.37E-11	1.72E-02	0.046665968	1.50E-05	0.028049046	1.20E-06	2.38E-06	1.20E-19	2.06E-07	0.001904663	547.5935001	0.145732482	3.538088963	11119.40791	0.378053228	3.30610000000000e-319	0.16460418	3.98E-05	57.64045433	0.205503738	0.001091363	1.558512047	4.78300000000000e-321	0.010229043	6.45E-09	7.14E-02	3.04054000000000e-318	2.34503000000000e-319	0.919192505
14.1	3.047782429	389.7395867	2.00E-05	0.508195924	2.05E-54	4.07E-58	0.060993252	3.43E-11	4.27E-11	1.69E-02	0.046736009	1.46E-05	0.027881115	1.17E-06	2.32E-06	1.14E-19	1.93E-07	0.001904695	547.6025531	0.148595631	3.55646724	11119.21791	0.379022456	3.30610000000000e-319	0.164594095	3.98E-05	56.98656058	0.205546651	0.001091443	1.55884742	4.80700000000000e-321	0.010105228	6.59E-09	7.19E-02	3.04931000000000e-318	2.34503000000000e-319	0.901894061
14.2	3.043607912	389.8349113	2.02E-05	0.507830665	8.03E-55	1.58E-58	0.060945407	3.42E-11	4.17E-11	1.65E-02	0.046805666	1.43E-05	0.027713683	1.15E-06	2.26E-06	1.09E-19	1.81E-07	0.001904725	547.6109706	0.151488643	3.574616267	11119.02804	0.379981944	3.30610000000000e-319	0.16458396	3.98E-05	56.34407645	0.205588145	0.001091518	1.559171804	4.82700000000000e-321	0.009981037	6.74E-09	7.24E-02	3.05808000000000e-318	2.34503000000000e-319	0.885001995
14.3	3.039154437	389.898737	2.04E-05	0.507463542	3.14E-55	6.10E-59	0.060896214	3.42E-11	4.08E-11	1.62E-02	0.04687494	1.39E-05	0.027546769	1.12E-06	2.20E-06	1.04E-19	1.70E-07	0.001904752	547.6187655	0.154411231	3.592535885	11118.83832	0.380931773	3.30610000000000e-319	0.164573779	3.98E-05	55.71278169	0.205628296	0.001091588	1.5594858	4.84700000000000e-321	0.009856538	6.89E-09	7.29E-02	3.06672500000000e-318	2.34503000000000e-319	0.868509661
14.4	3.034428737	389.9317223	2.05E-05	0.507094623	1.23E-55	2.37E-59	0.060845735	3.42E-11	3.99E-11	1.59E-02	0.046943832	1.36E-05	0.027380389	1.09E-06	2.14E-06	9.89E-20	1.59E-07	0.001904777	547.6259505	0.157363096	3.610226005	11118.64877	0.381872023	3.30610000000000e-319	0.164563554	3.98E-05	55.09245988	0.205667182	0.001091654	1.559789989	4.86700000000000e-321	0.009731795	7.04E-09	7.34E-02	3.07549400000000e-318	2.34503000000000e-319	0.852410431
14.5	3.029437536	389.9345253	2.07E-05	0.506723973	4.83E-56	9.16E-60	0.060794034	3.42E-11	3.90E-11	1.56E-02	0.047012341	1.32E-05	0.027214558	1.07E-06	2.09E-06	9.42E-20	1.49E-07	0.0019048	547.6325382	0.160343921	3.627686607	11118.45943	0.382802773	3.30610000000000e-319	0.164553289	3.98E-05	54.48289844	0.205704877	0.001091716	1.560084931	4.89000000000000e-321	0.009606872	7.19E-09	7.39E-02	3.08433000000000e-318	2.34503000000000e-319	0.836697697
14.6	3.024187541	389.9078033	2.09E-05	0.506351659	1.89E-56	3.55E-60	0.06074117	3.41E-11	3.81E-11	1.53E-02	0.047080469	1.29E-05	0.027049293	1.04E-06	2.03E-06	8.98E-20	1.40E-07	0.001904821	547.638541	0.163353379	3.644917745	11118.27031	0.3837241	3.30610000000000e-319	0.164542989	3.98E-05	53.8838886	0.20574145	0.001091775	1.560371173	4.91600000000000e-321	0.009481833	7.35E-09	7.44E-02	3.09297400000000e-318	2.34503000000000e-319	0.821364875
14.7	3.018685446	389.8522128	2.10E-05	0.505977747	7.41E-57	1.38E-60	0.060687203	3.41E-11	3.73E-11	1.50E-02	0.047148214	1.26E-05	0.026884609	1.02E-06	1.98E-06	8.56E-20	1.31E-07	0.00190484	547.6439714	0.166391125	3.661919537	11118.08146	0.384636082	3.30610000000000e-319	0.164532655	3.98E-05	53.29522528	0.205776973	0.001091831	1.560649241	4.93600000000000e-321	0.009356738	7.50E-09	7.49E-02	3.10174400000000e-318	2.34503000000000e-319	0.80640541
14.8	3.01293792	389.7684088	2.12E-05	0.505602302	2.90E-57	5.33E-61	0.060632189	3.41E-11	3.65E-11	1.47E-02	0.047215578	1.23E-05	0.026720523	9.97E-07	1.93E-06	8.16E-20	1.23E-07	0.001904857	547.6488416	0.169456804	3.678692174	11117.89288	0.385538794	3.30610000000000e-319	0.164522293	3.98E-05	52.71670717	0.20581151	0.001091883	1.560919642	4.95500000000000e-321	0.009231647	7.66E-09	7.54E-02	3.11045500000000e-318	2.34503000000000e-319	0.791812772
