"Year","Month","Day","TPI","TPI.constant"
2011,5,18,11,11
2011,5,19,10.6428571428571,11
2011,5,20,10.2857142857143,11
2011,5,21,9.92857142857143,11
2011,5,22,9.57142857142857,11
2011,5,23,9.21428571428571,11
2011,5,24,8.85714285714286,11
2011,5,25,8.5,8.5
2011,5,26,8.5,8.5
2011,5,27,8.5,8.5
2011,5,28,8.5,8.5
2011,5,29,8.5,8.5
2011,5,30,8.5,8.5
2011,5,31,8.5,8.5
2011,6,1,8.5,8.5
2011,6,2,8.57142857142857,8.5
2011,6,3,8.64285714285714,8.5
2011,6,4,8.71428571428571,8.5
2011,6,5,8.78571428571429,8.5
2011,6,6,8.85714285714286,8.5
2011,6,7,8.92857142857143,8.5
2011,6,8,9,9
2011,6,9,8.92857142857143,9
2011,6,10,8.85714285714286,9
2011,6,11,8.78571428571429,9
2011,6,12,8.71428571428571,9
2011,6,13,8.64285714285714,9
2011,6,14,8.57142857142857,9
2011,6,15,8.5,8.5
2011,6,16,8.71428571428571,8.5
2011,6,17,8.92857142857143,8.5
2011,6,18,9.14285714285714,8.5
2011,6,19,9.35714285714286,8.5
2011,6,20,9.57142857142857,8.5
2011,6,21,9.78571428571428,8.5
2011,6,22,10,10
2011,6,23,9.85714285714286,10
2011,6,24,9.71428571428571,10
2011,6,25,9.57142857142857,10
2011,6,26,9.42857142857143,10
2011,6,27,9.28571428571429,10
2011,6,28,9.14285714285714,10
2011,6,29,9,9
2011,6,30,10.1111111116667,9
2011,7,1,11.2222222233333,9
2011,7,2,12.333333335,9
2011,7,3,13.4444444466667,9
2011,7,4,14.5555555583333,9
2011,7,5,15.66666667,15.66666667
2011,7,6,15.02083333625,15.66666667
2011,7,7,14.3750000025,15.66666667
2011,7,8,13.72916666875,15.66666667
2011,7,9,13.083333335,15.66666667
2011,7,10,12.43750000125,15.66666667
2011,7,11,11.7916666675,15.66666667
2011,7,12,11.14583333375,15.66666667
2011,7,13,10.5,10.5
2011,7,14,11.4285714285714,10.5
2011,7,15,12.3571428571429,10.5
2011,7,16,13.2857142857143,10.5
2011,7,17,14.2142857142857,10.5
2011,7,18,15.1428571428571,10.5
2011,7,19,16.0714285714286,10.5
2011,7,20,17,17
2011,7,21,16.7857142857143,17
2011,7,22,16.5714285714286,17
2011,7,23,16.3571428571429,17
2011,7,24,16.1428571428571,17
2011,7,25,15.9285714285714,17
2011,7,26,15.7142857142857,17
2011,7,27,15.5,15.5
2011,7,28,15.7857142857143,15.5
2011,7,29,16.0714285714286,15.5
2011,7,30,16.3571428571429,15.5
2011,7,31,16.6428571428571,15.5
2011,8,1,16.9285714285714,15.5
2011,8,2,17.2142857142857,15.5
2011,8,3,17.5,17.5
2011,8,4,18.4081632653061,17.5
2011,8,5,19.3163265306122,17.5
2011,8,6,20.2244897959184,17.5
2011,8,7,21.1326530612245,17.5
2011,8,8,22.0408163265306,17.5
2011,8,9,22.9489795918367,17.5
2011,8,10,23.8571428571429,17.5
2011,8,11,24.765306122449,17.5
2011,8,12,25.6734693877551,17.5
2011,8,13,26.5816326530612,17.5
2011,8,14,27.4897959183673,17.5
2011,8,15,28.3979591836735,17.5
2011,8,16,29.3061224489796,17.5
2011,8,17,30.2142857142857,17.5
2011,8,18,31.1224489795918,17.5
2011,8,19,32.030612244898,17.5
2011,8,20,32.9387755102041,17.5
2011,8,21,33.8469387755102,17.5
2011,8,22,34.7551020408163,17.5
2011,8,23,35.6632653061225,17.5
2011,8,24,36.5714285714286,17.5
2011,8,25,37.4795918367347,17.5
2011,8,26,38.3877551020408,17.5
2011,8,27,39.2959183673469,17.5
2011,8,28,40.2040816326531,17.5
2011,8,29,41.1122448979592,17.5
2011,8,30,42.0204081632653,17.5
2011,8,31,42.9285714285714,17.5
2011,9,1,43.8367346938775,17.5
2011,9,2,44.7448979591837,17.5
2011,9,3,45.6530612244898,17.5
2011,9,4,46.5612244897959,17.5
2011,9,5,47.469387755102,17.5
2011,9,6,48.3775510204082,17.5
2011,9,7,49.2857142857143,17.5
2011,9,8,50.1938775510204,17.5
2011,9,9,51.1020408163265,17.5
2011,9,10,52.0102040816327,17.5
