z	 OMzt	 OMbzt	 DOM1zt	 DOM2zt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 OHzt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt
5.6471	0.0006858	5.9522	0.00017764	0.02887	0	0	0.4243	4.07E-09	7.12E-84	2.9644e-323	0.1	0	1.16E-10	0.011243	0.00061257	7.74E-20	7.74E-103	4.59E-09	0.00011468	0	3.30E-56	6.8765	0.011825	0.0079733	0.16093	0.0072746	1.83E-06	0.011474	2.35E-05	0.71855	1.16E-15
5.7647	0.00065848	5.723	0.00017859	0.028558	0	0	0.42128	4.07E-09	1.36E-85	2.9644e-323	0.1	0	1.16E-10	0.011287	0.00061138	8.03E-20	7.89E-103	4.67E-09	0.00011669	0	3.37E-56	6.9528	0.011698	0.0081038	0.16243	0.0072746	1.83E-06	0.011684	2.35E-05	0.71851	1.15E-15
5.8824	0.00063199	5.4997	0.00017951	0.028255	0	0	0.41827	4.07E-09	2.58E-87	2.9644e-323	0.1	0	1.16E-10	0.011333	0.00061023	8.34E-20	8.03E-103	4.75E-09	0.00011868	0	3.43E-56	7.0266	0.011574	0.0082331	0.16392	0.0072746	1.83E-06	0.011896	2.35E-05	0.71849	1.15E-15
6	0.00060629	5.2826	0.00018041	0.027961	0	0	0.41527	4.07E-09	4.91E-89	2.9644e-323	0.1	0	1.16E-10	0.011382	0.00060912	8.66E-20	8.18E-103	4.82E-09	0.00012065	0	3.49E-56	7.0978	0.011452	0.0083611	0.16541	0.0072746	1.83E-06	0.012108	2.35E-05	0.71848	1.15E-15
6.1176	0.00058136	5.0721	0.0001813	0.027676	0	0	0.41228	4.07E-09	9.33E-91	2.9644e-323	0.1	0	1.16E-10	0.011433	0.00060803	8.98E-20	8.32E-103	4.90E-09	0.00012261	0	3.55E-56	7.1666	0.011332	0.0084878	0.16689	0.0072746	1.83E-06	0.01232	2.35E-05	0.71848	1.15E-15
6.2353	0.00055717	4.8683	0.00018216	0.0274	0	0	0.4093	4.06E-09	1.78E-92	2.9644e-323	0.1	0	1.16E-10	0.011486	0.00060698	9.32E-20	8.47E-103	4.98E-09	0.00012455	0	3.61E-56	7.2331	0.011214	0.0086133	0.16836	0.0072746	1.83E-06	0.012532	2.35E-05	0.71849	1.15E-15
6.3529	0.00053371	4.6713	0.00018301	0.027132	0	0	0.40633	4.06E-09	3.38E-94	2.9644e-323	0.1	0	1.16E-10	0.01154	0.00060595	9.66E-20	8.61E-103	5.06E-09	0.00012648	0	3.67E-56	7.2972	0.011099	0.0087376	0.16984	0.0072746	1.83E-06	0.012745	2.34E-05	0.7185	1.15E-15
6.4706	0.00051096	4.4813	0.00018383	0.026873	0	0	0.40338	4.06E-09	6.43E-96	2.9644e-323	0.1	0	1.16E-10	0.011596	0.00060494	1.00E-19	8.75E-103	5.13E-09	0.00012839	0	3.73E-56	7.359	0.010986	0.0088607	0.17132	0.0072746	1.83E-06	0.012958	2.34E-05	0.71853	1.15E-15
6.5882	0.00048892	4.2982	0.00018463	0.026623	0	0	0.40044	4.06E-09	1.22E-97	2.9644e-323	0.1	0	1.16E-10	0.011652	0.00060395	1.04E-19	8.90E-103	5.21E-09	0.00013029	0	3.79E-56	7.4186	0.010874	0.0089825	0.1728	0.0072746	1.83E-06	0.013171	2.34E-05	0.71856	1.15E-15
6.7059	0.00046757	4.1222	0.00018542	0.02638	0	0	0.39751	4.06E-09	2.33E-99	2.9644e-323	0.1	0	1.16E-10	0.011709	0.00060298	1.07E-19	9.04E-103	5.29E-09	0.00013218	0	3.85E-56	7.476	0.010766	0.0091032	0.17428	0.0072746	1.83E-06	0.013384	2.34E-05	0.71859	1.15E-15
