-999	"MyLake model input data time series for Lake 227, accessed from https://github.com/biogeochemistry/ELA_MyLake_model"																															
Year	Month	Day	Global_rad (MJ/m2)	Cloud_cov (-)	Air_temp (deg C)	Relat_hum (%)	Air_press (hPa)	Wind_speed_L227_10m (m/s)	Precipitation (mm/day)	Inflow (m3/day)	Inflow_T (deg C)	Inflow_C	Inflow_S (kg/m3)	Inflow_TP (mg/m3)	Inflow_DOP (mg/m3)	Inflow_Chla (mg/m3)	Inflow_DOC (mg/m3)	Inflow_DIC	Inflow_O	Inflow_NO3 (mg/m3)	Inflow_NH4 (mg/m3)	Inflow_SO4 (mg/m3)	Inflow_Fe2 (mg/m3)	Inflow_Ca2 (mg/m3)	Inflow_pH	Inflow_CH4	Inflow_Fe3	Inflow_Al3	Inflow_SiO4	Inflow_SiO2	Inflow_diatom	Inflow_POC (kg/m3)
1969	10	10	NaN	0.375	1.95	65	960	3.321845267	0	0	5.78	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	11	NaN	0.5	0.25	64	963	1.558811437	0	0	4.39	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	12	NaN	0.162	2.5	63	963	0.970896526	0	0	6.23	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	13	NaN	0.912	0.55	64	959	1.60075458	0	0	4.63	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	14	NaN	0.75	1.35	66	958	2.146790974	1.5	735	5.29	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	15	NaN	0.375	2.75	61	957	0.855730607	0.3	147	6.44	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	16	NaN	0.538	0.85	65	955	1.858811548	0	0	4.88	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	17	NaN	0.212	1.1	59	956	1.810147161	0	0	5.08	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	18	NaN	0.462	2.8	61	958	1.684511613	0	0	6.48	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	19	NaN	0.788	0.3	67	959	1.300043568	0	0	4.43	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	20	NaN	0.838	0.3	61	957	1.614907968	0	0	4.43	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	21	NaN	0.838	-3.35	66	958	1.647092383	0	0	0.00	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	22	NaN	0.125	-4.2	57	960	1.348643328	0.3	147	0.00	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	23	NaN	0	-4.15	55	956	1.279815211	0	0	0.00	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	24	NaN	0.5	-0.3	62	951	1.718893357	0	0	0.00	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	25	NaN	0.5	-1.7	67	948	1.638109183	1	490	0.00	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	26	NaN	0.162	-4.45	65	946	1.58349908	0	0	0.00	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	27	NaN	0.875	-2.5	68	947	1.131753975	0.8	392	0.00	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	28	NaN	1	1.1	90	953	1.766006688	0	0	5.08	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	29	NaN	0.125	0.25	52	960	1.636622754	0	0	4.39	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	30	NaN	0	3.6	52	960	1.11973329	0	0	7.13	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	31	NaN	0.162	2.5	52	959	0.504151415	1.8	882	6.23	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	1	NaN	0.212	1.1	51	957	1.328479597	2.3	1127	5.08	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	2	NaN	0.088	0.85	54	954	1.127230061	0	0	4.88	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	3	NaN	0.088	-1.1	58	951	1.071909058	0	0	0.00	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	4	NaN	0.212	3.3	55	954	1.18629945	0	0	6.89	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	5	NaN	0.338	4.15	61	962	1.97998781	0	0	7.58	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	6	NaN	0.875	4.45	62	967	0.932766396	0	0	7.83	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	7	NaN	0	4.4	51	965	1.187850506	0	0	7.79	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	8	NaN	0	6.15	45	964	2.490091404	0	0	9.22	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	9	NaN	0.412	8.9	53	963	1.314972483	0	0	11.48	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	10	NaN	0.088	8.05	56	966	1.463809247	0	0	10.78	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	11	NaN	0	1.1	52	966	1.856549591	3	1470	5.08	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	12	NaN	0.212	-3.6	49	960	1.614197067	1.8	882	0.00	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	13	NaN	0.962	-8.35	84	954	2.845412518	6.9	3381	0.00	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	14	NaN	1	-9.75	95	947	2.456420559	2.5	1225	0.00	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	15	NaN	0.788	-8.1	76	944	1.547630907	1	490	0.00	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	16	NaN	0.962	-8.35	77	950	1.532637364	1.3	637	0.00	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	11	17	NaN	0.375	-5.55	70	953	3.181991704	0	0	0.00	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
